Time,Converged Residual,Object,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Mass (kg),Dynamic Pressure (kg/ms^2)
0.7000000000000001,8.498409708309364e-13,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.7000000000000001,8.498409708309364e-13,INTER5,793.4963094651173,3447380.0,15.724820569998494,291.7692260356797,0.39515541870225857,N/A,98103.90906284656
0.7000000000000001,8.498409708309364e-13,Pressure Outlet,792.3379797429225,3447380.0,N/A,N/A,N/A,N/A,N/A
0.7500000000000001,8.158026312461081e-13,Pressurant Tank,64.16208483156186,5100296.136235955,10,272.23365348320095,N/A,0.15453786966514388,N/A
0.7500000000000001,8.158026312461081e-13,INTER1,64.16208483178445,5100296.136235955,15.596234644732519,272.2336534823853,0.031690971989638196,N/A,7803.474085685488
0.7500000000000001,8.158026312461081e-13,Tank,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.7500000000000001,8.158026312461081e-13,INTER2,793.740255409629,5102281.088582172,15.596234644732519,293.15000000000305,0.392044620544716,N/A,96535.69596582194
0.7500000000000001,8.158026312461081e-13,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.7500000000000001,8.158026312461081e-13,INTER3,793.5873668727115,4920389.519980073,15.599239336585724,293.1500000000008,0.3920446205447095,N/A,96554.29404579407
0.7500000000000001,8.158026312461081e-13,cavitating_venturi,N/A,N/A,N/A,N/A,0.3920446205450952,N/A,N/A
0.7500000000000001,8.158026312461081e-13,INTER4,793.5873668727115,3629306.61091305,15.599239336585724,291.84468107837625,0.3920446205447095,N/A,96554.29404579407
0.7500000000000001,8.158026312461081e-13,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.7500000000000001,8.158026312461081e-13,INTER5,793.433043356123,3447380.0,15.60227340416141,291.844681078376,0.3920446205447031,N/A,96573.07395207745
0.7500000000000001,8.158026312461081e-13,Pressure Outlet,792.3379797429225,3447380.0,N/A,N/A,N/A,N/A,N/A
0.8000000000000002,7.834102118295395e-13,Pressurant Tank,63.50420115631781,5021423.283795311,10,270.96360881467183,N/A,0.15295332106566198,N/A
0.8000000000000002,7.834102118295395e-13,INTER1,63.50420115652942,5021423.283795311,15.475738573736844,270.9636088138922,0.031123696660330737,N/A,7604.579965094794
0.8000000000000002,7.834102118295395e-13,Tank,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.8000000000000002,7.834102118295395e-13,INTER2,793.6739753523455,5023383.752014166,15.475738573736846,293.15000000000776,0.3889832106568493,N/A,95041.8571033551
0.8000000000000002,7.834102118295395e-13,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.8000000000000002,7.834102118295395e-13,INTER3,793.5232666581599,4844235.8638470825,15.478677779743542,293.1499999999997,0.38898321065684327,N/A,95059.90778287077
0.8000000000000002,7.834102118295395e-13,cavitating_venturi,N/A,N/A,N/A,N/A,0.38898321065721053,N/A,N/A
0.8000000000000002,7.834102118295395e-13,INTER4,793.5232666581599,3626561.912555443,15.478677779743544,291.91842422338,0.3889832106568433,N/A,95059.9077828708
0.8000000000000002,7.834102118295395e-13,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.8000000000000002,7.834102118295395e-13,INTER5,793.3712089997426,3447380.0,15.48164442571164,291.9184242233812,0.38898321065683694,N/A,95078.12698066923
0.8000000000000002,7.834102118295395e-13,Pressure Outlet,792.3379797429225,3447380.0,N/A,N/A,N/A,N/A,N/A
0.8500000000000002,7.524588781902859e-13,Pressurant Tank,62.858093742737246,4944384.225795078,10,269.70770353865146,N/A,0.15139713623264545,N/A
0.8500000000000002,7.524588781902859e-13,INTER1,62.85809374293851,4944384.225795078,15.357112009532603,269.70770353790607,0.030570890546227504,N/A,7412.254363180495
0.8500000000000002,7.524588781902859e-13,Tank,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.8500000000000002,7.524588781902859e-13,INTER2,793.6091814017656,4946320.401078966,15.3571120095326,293.14999999999776,0.38597001557719207,N/A,93582.74753863609
0.8500000000000002,7.524588781902859e-13,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.8500000000000002,7.524588781902859e-13,INTER3,793.460605853623,4769853.030605739,15.359987629718015,293.1500000000008,0.3859700155771864,N/A,93600.27091397127
0.8500000000000002,7.524588781902859e-13,cavitating_venturi,N/A,N/A,N/A,N/A,0.38597001557753624,N/A,N/A
0.8500000000000002,7.524588781902859e-13,INTER4,793.460605853623,3623880.413998809,15.359987629718015,291.99050670968586,0.3859700155771864,N/A,93600.27091397127
0.8500000000000002,7.524588781902859e-13,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.8500000000000002,7.524588781902859e-13,INTER5,793.31076366184,3447380.0,15.362888856220197,291.99050670968614,0.3859700155771803,N/A,93617.95032837645
0.8500000000000002,7.524588781902859e-13,Pressure Outlet,792.3379797429225,3447380.0,N/A,N/A,N/A,N/A,N/A
0.9000000000000002,7.230007998993664e-13,Pressurant Tank,62.223462219456366,4869122.311714831,10,268.46570944813163,N/A,0.14986859170533406,N/A
0.9000000000000002,7.230007998993664e-13,INTER1,62.22346221964787,4869122.311714831,15.240311696024058,268.46570944741876,0.03003207595046087,N/A,7226.231579275727
0.9000000000000002,7.230007998993664e-13,Tank,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.9000000000000002,7.230007998993664e-13,INTER2,793.5458295965655,4871034.382245018,15.240311696024058,293.1499999999982,0.38300389876232765,N/A,92157.29451362096
0.9000000000000002,7.230007998993664e-13,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.9000000000000002,7.230007998993664e-13,INTER3,793.3993418133672,4697186.307849161,15.24312556207836,293.15000000000174,0.3830038987623224,N/A,92174.30980096161
0.9000000000000002,7.230007998993664e-13,cavitating_venturi,N/A,N/A,N/A,N/A,0.383003898762656,N/A,N/A
0.9000000000000002,7.230007998993664e-13,INTER4,793.3993418133672,3621260.1725049056,15.24312556207836,292.0609778838028,0.3830038987623224,N/A,92174.30980096161
0.9000000000000002,7.230007998993664e-13,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.9000000000000002,7.230007998993664e-13,INTER5,793.2516661820248,3447380.0,15.24596329729759,292.06097788380106,0.3830038987623169,N/A,92191.46942377946
