Time,Converged Residual,Interface,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Dynamic Pressure (kg/ms^2)
0.045,5.247908957452859e-15,INTER1,1.5883086382305438,135780.4312477217,18.701140456021044,288.13860959370015,0.0003477342595100967,277.7416979923285
0.045,5.247908957452859e-15,INTER2,1.5667012683194492,133933.9724851759,18.9590597337823,288.13860959369276,0.0003477342595100969,281.5722097367235
0.045,5.247908957452859e-15,INTER3,1.2133429589588618,103742.47246834001,24.48045106434618,288.15928807758957,0.0003477342595101025,363.5736580995858
0.045,5.247908957452859e-15,INTER4,1.1850653279297267,101325.39296,9.265478582695556,288.1592880775871,0.0003477342595101051,50.86839199135537
0.049999999999999996,5.11849316547765e-15,INTER1,1.588291251517568,135778.34716100045,18.700444285960707,288.13734425610625,0.00034771750833301353,277.7179797862809
0.049999999999999996,5.11849316547765e-15,INTER2,1.5666854543807562,133932.0309486508,18.958337792587045,288.1373442560989,0.00034771750833301375,281.54792428198675
0.049999999999999996,5.11849316547765e-15,INTER3,1.2133457177916986,103742.2539128266,24.479216123942862,288.1580293097282,0.0003477175083330193,363.53780395458796
0.049999999999999996,5.11849316547765e-15,INTER4,1.18507051945318,101325.39296,9.264991654810132,288.1580293097258,0.000347717508333022,50.86326838790457
0.05499999999999999,5.1880137749109074e-15,INTER1,1.5882738656421518,135776.26318385405,18.699748129558422,288.1360789711277,0.0003477007578766477,277.6942633547952
0.05499999999999999,5.1880137749109074e-15,INTER2,1.5666696411832255,133930.0895119369,18.95761586714429,288.1360789711202,0.00034770075787664794,281.5236406777276
0.05499999999999999,5.1880137749109074e-15,INTER3,1.2133484766553173,103742.03537638615,24.4779812392726,288.1567705931602,0.0003477007578766535,363.5019531577471
0.05499999999999999,5.1880137749109074e-15,INTER4,1.1850757108107055,101325.39296,9.264504751691648,288.15677059315783,0.0003477007578766562,50.85814528338942
0.05999999999999999,5.0413851395597365e-15,INTER1,1.588256480604258,135774.17931627686,18.699051986814737,288.13481373876294,0.0003476840081409725,277.6705486977645
0.05999999999999999,5.0413851395597365e-15,INTER2,1.5666538287268221,133928.14817502908,18.9568939574545,288.13481373875555,0.0003476840081409727,281.49935892383064
0.05999999999999999,5.0413851395597365e-15,INTER3,1.2133512355497023,103741.81685901707,24.476746410333522,288.1555119278847,0.00034768400814097814,363.46610570877357
0.05999999999999999,5.0413851395597365e-15,INTER4,1.1850809020023023,101325.39296,9.264017873338862,288.15551192788223,0.0003476840081409808,50.85302267776291
0.06499999999999999,5.165335098304984e-15,INTER1,1.5882390964038502,135772.09555826327,18.698355857730235,288.13354855901053,0.00034766725912596175,277.64683581508314
0.06499999999999999,5.165335098304984e-15,INTER2,1.5666380170115162,133926.2069379223,18.95617206351812,288.13354855900303,0.0003476672591259621,281.4750790201811
0.06499999999999999,5.165335098304984e-15,INTER3,1.2133539944748417,103741.59836071778,24.47551163712378,288.1542533138998,0.00034766725912596766,363.4302616073796
0.06499999999999999,5.165335098304984e-15,INTER4,1.185086093027972,101325.39296,9.263531019750546,288.15425331389736,0.00034766725912597026,50.84790057097828
0.06999999999999999,5.173369137181688e-15,INTER1,1.5882217130408949,135770.01190980768,18.69765974230547,288.1322834318683,0.00034765051083158983,277.62312470664506
0.06999999999999999,5.173369137181688e-15,INTER2,1.5666222060372754,133924.2658006115,18.955450185335632,288.13228343186097,0.0003476505108315901,281.4508009666647
0.06999999999999999,5.173369137181688e-15,INTER3,1.2133567534307221,103741.37988148676,24.474276919641504,288.1529947512043,0.00034765051083159574,363.3944208532762
0.06999999999999999,5.173369137181688e-15,INTER4,1.1850912838877157,101325.39296,9.263044190925468,288.15299475120185,0.00034765051083159834,50.84277896298866
0.075,5.08531956761124e-15,INTER1,1.5882043305153528,135767.92837090458,18.696963640541046,288.13101835733556,0.00034763376325783055,277.5994153723449
0.075,5.08531956761124e-15,INTER2,1.5666063958040672,133922.32476309166,18.954728322907506,288.13101835732823,0.0003476337632578307,281.4265247631668
0.075,5.08531956761124e-15,INTER3,1.2133595124173295,103741.16142132245,24.47304225788486,288.1517362397969,0.0003476337632578363,363.3585834461754
0.075,5.08531956761124e-15,INTER4,1.1850964745815336,101325.39296,9.262557386862396,288.1517362397944,0.0003476337632578389,50.837657853747196
0.08,5.155340935350331e-15,INTER1,1.5881869488271902,135765.84494154833,18.6962675524375,288.12975333541016,0.00034761701640465757,277.575707812076
0.08,5.155340935350331e-15,INTER2,1.5665905863118603,133920.38382535774,18.9540064762342,288.1297533354028,0.0003476170164046578,281.40225040957256
0.08,5.155340935350331e-15,INTER3,1.21336227143465,103740.94298022326,24.47180765185201,288.1504777796761,0.0003476170164046633,363.32274938578917
0.08,5.155340935350331e-15,INTER4,1.1851016651094257,101325.39296,9.26207060756011,288.1504777796737,0.00034761701640466597,50.832537243207184
0.085,5.213497951997038e-15,INTER1,1.5881695679763697,135763.76162173337,18.69557147799541,288.12848836609083,0.00034760027027204475,277.5520020257324
