Time,Converged Residual,Object,Density (kg/m^3),Pressure (kg/ms^2),Velocity (m/s),Temperature (K),Mass Flow Rate (kg/s),Mass (kg),Dynamic Pressure (kg/ms^2)
0.0,1.0159619448758015,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,1.0159619448758015,INTER2,2.4503330959756147,98352.63365478354,714.9402706695688,136.27824585732236,0.020508758771870448,N/A,626231.1277860258
0.0,1.0159619448758015,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.7034175230071951,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.7034175230071951,INTER1,47.67281660924786,4326290.385658771,371.53848216368027,306.26895624549576,0.20735719280061918,N/A,3290397.913827106
0.0,0.7034175230071951,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.7034175230071951,INTER2,1.768974378752454,96802.29539683156,1037.3686065970176,184.88536062222084,0.021483208048428803,N/A,951826.4062124502
0.0,0.7034175230071951,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.6212144467597012,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.6212144467597012,INTER1,40.0354320655583,5673624.2309432365,212.4768486098768,466.61722336987697,0.09958653611630396,N/A,903728.039204285
0.0,0.6212144467597012,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.6212144467597012,INTER2,1.9670950512764362,93018.38437894962,896.6878274876615,160.01914961355877,0.02064957466398392,N/A,790820.4634198607
0.0,0.6212144467597012,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.6212144525076945,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.6212144525076945,INTER1,40.03543146898388,5673624.2309432365,212.47685177602858,466.6172302030642,0.09958653611630396,N/A,903728.0526708822
0.0,0.6212144525076945,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.6212144525076945,INTER2,1.9670950512764362,93018.38437894962,896.6878274876615,160.01914961355877,0.02064957466398392,N/A,790820.4634198607
0.0,0.6212144525076945,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.6212144545333136,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.6212144545333136,INTER1,40.03543146898388,5673624.315486826,212.4768486098768,466.61723686771654,0.09958653463234896,N/A,903728.0257376881
0.0,0.6212144545333136,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.6212144545333136,INTER2,1.9670950512764362,93018.38437894962,896.6878274876615,160.01914961355877,0.02064957466398392,N/A,790820.4634198607
0.0,0.6212144545333136,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.6212144473026534,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.6212144473026534,INTER1,40.03543146898388,5673624.2309432365,212.4768486098768,466.6172302030642,0.09958653463234896,N/A,903728.0257376881
0.0,0.6212144473026534,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.6212144473026534,INTER2,1.9670950805884366,93018.38437894962,896.6878274876615,160.01914726263414,0.02064957497168656,N/A,790820.4752040039
0.0,0.6212144473026534,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.621214446767965,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.621214446767965,INTER1,40.03543146898388,5673624.2309432365,212.4768486098768,466.6172302030642,0.09958653463234896,N/A,903728.0257376881
0.0,0.621214446767965,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.621214446767965,INTER2,1.9670950512764362,93018.38437894962,896.6878408493513,160.01914961355877,0.02064957497168656,N/A,790820.4869881473
0.0,0.621214446767965,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.6212144490319466,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.6212144490319466,INTER1,40.03543146898388,5673624.2309432365,212.4768486098768,466.6172302030642,0.09958653463234896,N/A,903728.0257376881
0.0,0.6212144490319466,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.6212144490319466,INTER2,1.9670950512764362,93018.38576503156,896.6878274876615,160.01915197479715,0.02064957466398392,N/A,790820.4634198607
0.0,0.6212144490319466,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.39419964981594435,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.39419964981594435,INTER1,42.01785313005037,5214594.054898473,100.10224559480595,410.71769617980124,0.049240467697640004,N/A,210519.0993195415
0.0,0.39419964981594435,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.39419964981594435,INTER2,2.086220727306673,95049.47778106337,912.6656231227215,154.27771062467724,0.02229032696442088,N/A,868867.6851815864
0.0,0.39419964981594435,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,2.2841886891321876,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,2.2841886891321876,INTER1,50.18032409804504,5012239.396036645,-80.55248674109875,334.33382192048083,-0.047321325887425277,N/A,162802.61277318603
0.0,2.2841886891321876,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,2.2841886891321876,INTER2,2.363010853911544,98300.63704356374,808.4824091062444,141.12788728810537,0.02236561176819368,N/A,772283.7038891758
0.0,2.2841886891321876,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.6035840025218482,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.6035840025218482,INTER1,43.74579564009401,5280255.388622223,231.06752707928382,399.7454099534147,0.1183367742882868,N/A,1167842.1802761264
0.0,0.6035840025218482,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.6035840025218482,INTER2,2.088742027762804,95752.21865638244,896.1334918010621,155.22128043492592,0.021913008369538738,N/A,838687.6101129418
0.0,0.6035840025218482,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.39419964854951967,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
0.0,0.39419964854951967,INTER1,42.017853756165174,5214594.054898473,100.10224559480595,410.717690255854,0.049240468431380156,N/A,210519.10245652054
0.0,0.39419964854951967,critical_orifice,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,0.39419964854951967,INTER2,2.086220727306673,95049.47778106337,912.6656231227215,154.27771062467724,0.02229032696442088,N/A,868867.6851815864
0.0,0.39419964854951967,Pressure Outlet,1.1572237248244983,100663.496,N/A,N/A,N/A,N/A,N/A
0.0,0.3941996538803355,Pressure Inlet,70.67477441523894,5515808.0,20,268.15,N/A,N/A,N/A
