Time,Converged Residual,Component,Mass (kg),Pressure (kg/ms^2),Density (kg/m^3),Temperature (K)
4.100000000000001,3.5905168907043444e-09,Pressurant Tank,0.17930964269241464,7162054.643682127,119.53976179494309,219.91927038971534
4.100000000000001,3.5905168907043444e-09,critical_orifice,N/A,N/A,N/A,N/A
4.100000000000001,3.5905168907043444e-09,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
4.200000000000001,2.6188400576943522e-09,Pressurant Tank,0.17874431638665056,7123631.855884722,119.16287759110037,219.53903322987838
4.200000000000001,2.6188400576943522e-09,critical_orifice,N/A,N/A,N/A,N/A
4.200000000000001,2.6188400576943522e-09,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
4.300000000000001,2.3117263921235801e-10,Pressurant Tank,0.17823971220306825,7089406.756926448,118.8264748020455,219.1988229167813
4.300000000000001,2.3117263921235801e-10,critical_orifice,N/A,N/A,N/A,N/A
4.300000000000001,2.3117263921235801e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
4.4,1.3584215883787098e-10,Pressurant Tank,0.17780088050289292,7059696.948947269,118.53392033526194,218.90233061119682
4.4,1.3584215883787098e-10,critical_orifice,N/A,N/A,N/A,N/A
4.4,1.3584215883787098e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
4.5,2.574008812436339e-10,Pressurant Tank,0.17745177077857227,7036097.534345422,118.30118051904817,218.66604015447294
4.5,2.574008812436339e-10,critical_orifice,N/A,N/A,N/A,N/A
4.5,2.574008812436339e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
4.6,7.037245424843158e-10,Pressurant Tank,0.1772064725916496,7019534.748644611,118.13764839443306,218.49979079797814
4.6,7.037245424843158e-10,critical_orifice,N/A,N/A,N/A,N/A
4.6,7.037245424843158e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
4.699999999999999,3.6158582770235284e-09,Pressurant Tank,0.1770520720404998,7009117.539746872,118.03471469366653,218.39505231838936
4.699999999999999,3.6158582770235284e-09,critical_orifice,N/A,N/A,N/A,N/A
4.699999999999999,3.6158582770235284e-09,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
4.799999999999999,1.9870214504087826e-08,Pressurant Tank,0.17696252660315062,7003078.879926794,117.97501773543375,218.33427516330767
4.799999999999999,1.9870214504087826e-08,critical_orifice,N/A,N/A,N/A,N/A
4.799999999999999,1.9870214504087826e-08,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
4.899999999999999,3.3121330308188607e-09,Pressurant Tank,0.17691330814865106,6999760.636713003,117.94220543243404,218.3008586417366
4.899999999999999,3.3121330308188607e-09,critical_orifice,N/A,N/A,N/A,N/A
4.899999999999999,3.3121330308188607e-09,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
4.999999999999998,1.0496528816855745e-09,Pressurant Tank,0.17688710563764498,6997994.356366009,117.92473709176332,218.28306559415586
4.999999999999998,1.0496528816855745e-09,critical_orifice,N/A,N/A,N/A,N/A
4.999999999999998,1.0496528816855745e-09,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
5.099999999999998,3.0220756246649203e-10,Pressurant Tank,0.17687340249254163,6997070.715004023,117.91560166169442,218.27375951085835
5.099999999999998,3.0220756246649203e-10,critical_orifice,N/A,N/A,N/A,N/A
5.099999999999998,3.0220756246649203e-10,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
5.1999999999999975,8.637707821896158e-11,Pressurant Tank,0.1768663043543339,6996592.294208329,117.91086956955593,218.26893879433754
5.1999999999999975,8.637707821896158e-11,critical_orifice,N/A,N/A,N/A,N/A
